2025/04/08 14:57:52 Engine initialized
2025/04/08 14:57:52 Starting asset for KRW-BTC
2025/04/08 14:57:52 Asset Pairs(KRW-BTC, BTCUSDT, KRW-USDT) initialized
2025/04/08 14:57:52 Engine started
2025/04/08 14:57:52 Starting stream for KRW-BTC
2025/04/08 14:57:52 Starting stream for BTCUSDT
2025/04/08 14:57:52 Starting stream for KRW-USDT
2025/04/08 14:57:59 Engine stopping...
2025/04/08 14:57:59 Engine stopped
2025/04/08 15:04:42 Engine initialized
2025/04/08 15:04:42 Starting asset for KRW-BTC
2025/04/08 15:04:42 Asset Pairs(KRW-BTC, BTCUSDT, KRW-USDT) initialized
2025/04/08 15:04:42 Engine started
2025/04/08 15:04:42 Starting stream for KRW-BTC
2025/04/08 15:04:42 Starting stream for BTCUSDT
2025/04/08 15:04:42 Starting stream for KRW-USDT
2025/04/08 15:04:42 Starting strategy
2025/04/08 15:06:31 Premium: 1.0004492864792152, KimchiPrice: 1.18815e+08, AnchorPrice: 1490, CefiPrice: 79705.8
2025/04/08 15:06:32 Premium: 1.0004492864792152, KimchiPrice: 1.18815e+08, AnchorPrice: 1490, CefiPrice: 79705.8
2025/04/08 15:06:33 Premium: 1.0004523718737632, KimchiPrice: 1.1881e+08, AnchorPrice: 1490, CefiPrice: 79702.2
2025/04/08 15:06:34 Premium: 1.0004536271134266, KimchiPrice: 1.1881e+08, AnchorPrice: 1490, CefiPrice: 79702.1
2025/04/08 15:06:35 Premium: 1.0004536271134266, KimchiPrice: 1.1881e+08, AnchorPrice: 1490, CefiPrice: 79702.1
2025/04/08 15:06:36 Premium: 1.0004134610064457, KimchiPrice: 1.1881e+08, AnchorPrice: 1490, CefiPrice: 79705.3
2025/04/08 15:06:37 Premium: 1.0004122058675706, KimchiPrice: 1.1881e+08, AnchorPrice: 1490, CefiPrice: 79705.4
2025/04/08 15:06:38 Premium: 1.0007480273532594, KimchiPrice: 1.1881e+08, AnchorPrice: 1489.5, CefiPrice: 79705.4
2025/04/08 15:06:39 Premium: 1.0009389086663416, KimchiPrice: 1.1881e+08, AnchorPrice: 1489.5, CefiPrice: 79690.2
2025/04/08 15:06:40 Premium: 1.001089945009582, KimchiPrice: 1.18799e+08, AnchorPrice: 1489.5, CefiPrice: 79670.8
2025/04/08 15:06:41 Premium: 1.001014558703028, KimchiPrice: 1.18799e+08, AnchorPrice: 1489.5, CefiPrice: 79676.8
2025/04/08 15:06:42 Premium: 1.0009655636919532, KimchiPrice: 1.18799e+08, AnchorPrice: 1489.5, CefiPrice: 79680.7
2025/04/08 15:06:43 Premium: 1.0003049074836687, KimchiPrice: 1.18734e+08, AnchorPrice: 1489.5, CefiPrice: 79689.7
2025/04/08 15:06:44 Premium: 1.0010793471759756, KimchiPrice: 1.18708e+08, AnchorPrice: 1490, CefiPrice: 79583.9
2025/04/08 15:06:45 Premium: 1.0006845249307372, KimchiPrice: 1.18708e+08, AnchorPrice: 1490, CefiPrice: 79615.3
2025/04/08 15:06:46 Premium: 1.0004455955758533, KimchiPrice: 1.18708e+08, AnchorPrice: 1490.5, CefiPrice: 79607.6
2025/04/08 15:06:47 Premium: 1.0005966503439885, KimchiPrice: 1.18704e+08, AnchorPrice: 1490.5, CefiPrice: 79592.9
2025/04/08 15:06:48 Premium: 1.0005966503439885, KimchiPrice: 1.18704e+08, AnchorPrice: 1490.5, CefiPrice: 79592.9
2025/04/08 15:06:49 Premium: 1.0008028643024516, KimchiPrice: 1.18704e+08, AnchorPrice: 1490.5, CefiPrice: 79576.5
2025/04/08 15:06:50 Premium: 1.0007563713737406, KimchiPrice: 1.18687e+08, AnchorPrice: 1490.5, CefiPrice: 79568.8
2025/04/08 15:06:51 Premium: 1.0007563713737406, KimchiPrice: 1.18687e+08, AnchorPrice: 1490.5, CefiPrice: 79568.8
2025/04/08 15:06:52 Premium: 1.001072717779196, KimchiPrice: 1.18709e+08, AnchorPrice: 1490.5, CefiPrice: 79558.4
2025/04/08 15:06:53 Premium: 1.0005881327188306, KimchiPrice: 1.18632e+08, AnchorPrice: 1490.5, CefiPrice: 79545.3
2025/04/08 15:06:54 Premium: 1.0005868748357443, KimchiPrice: 1.18632e+08, AnchorPrice: 1490.5, CefiPrice: 79545.4
2025/04/08 15:06:55 Premium: 1.0006661276473985, KimchiPrice: 1.18632e+08, AnchorPrice: 1490.5, CefiPrice: 79539.1
2025/04/08 15:06:56 Premium: 1.0005619528142022, KimchiPrice: 1.18611e+08, AnchorPrice: 1490.5, CefiPrice: 79533.3
2025/04/08 15:06:57 Premium: 1.0005522591258231, KimchiPrice: 1.1861e+08, AnchorPrice: 1490.5, CefiPrice: 79533.4
2025/04/08 15:06:58 Premium: 1.0005535171551756, KimchiPrice: 1.1861e+08, AnchorPrice: 1490.5, CefiPrice: 79533.3
2025/04/08 15:06:59 Premium: 1.0005535171551756, KimchiPrice: 1.1861e+08, AnchorPrice: 1490.5, CefiPrice: 79533.3
2025/04/08 15:07:00 Premium: 1.0007981512669495, KimchiPrice: 1.18639e+08, AnchorPrice: 1490.5, CefiPrice: 79533.3
2025/04/08 15:07:01 Premium: 1.000431054776483, KimchiPrice: 1.18601e+08, AnchorPrice: 1490.5, CefiPrice: 79537
2025/04/08 15:07:02 Premium: 1.000326666739042, KimchiPrice: 1.18601e+08, AnchorPrice: 1490.5, CefiPrice: 79545.3
2025/04/08 15:07:03 Premium: 1.000080812285251, KimchiPrice: 1.18572e+08, AnchorPrice: 1490.5, CefiPrice: 79545.4
2025/04/08 15:07:04 Premium: 1.0002232688374333, KimchiPrice: 1.18571e+08, AnchorPrice: 1490.5, CefiPrice: 79533.4
2025/04/08 15:07:05 Premium: 1.0003301774633495, KimchiPrice: 1.18571e+08, AnchorPrice: 1490.5, CefiPrice: 79524.9
2025/04/08 15:07:06 Premium: 1.001179489855667, KimchiPrice: 1.18666e+08, AnchorPrice: 1490.5, CefiPrice: 79521.1
2025/04/08 15:07:07 Premium: 1.0011782308461328, KimchiPrice: 1.18666e+08, AnchorPrice: 1490.5, CefiPrice: 79521.2
2025/04/08 15:07:08 Premium: 1.001850388100813, KimchiPrice: 1.18666e+08, AnchorPrice: 1489.5, CefiPrice: 79521.2
2025/04/08 15:07:09 Premium: 1.0011329086116718, KimchiPrice: 1.18666e+08, AnchorPrice: 1490.5, CefiPrice: 79524.8
2025/04/08 15:07:10 Premium: 1.0001880138164947, KimchiPrice: 1.18554e+08, AnchorPrice: 1490.5, CefiPrice: 79524.8
2025/04/08 15:07:11 Premium: 1.0001641179774086, KimchiPrice: 1.18554e+08, AnchorPrice: 1490.5, CefiPrice: 79526.7
2025/04/08 15:07:12 Premium: 1.0001540569130676, KimchiPrice: 1.18554e+08, AnchorPrice: 1490.5, CefiPrice: 79527.5
2025/04/08 15:07:13 Premium: 1.002080819813193, KimchiPrice: 1.18663e+08, AnchorPrice: 1489, CefiPrice: 79527.6
2025/04/08 15:07:14 Premium: 1.0020505797280987, KimchiPrice: 1.18663e+08, AnchorPrice: 1489, CefiPrice: 79530
2025/04/08 15:07:15 Premium: 1.0010383663001559, KimchiPrice: 1.18663e+08, AnchorPrice: 1490.5, CefiPrice: 79530.3
2025/04/08 15:07:16 Premium: 1.0009527479474594, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79530.4
2025/04/08 15:07:17 Premium: 1.0009326110918952, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79532
2025/04/08 15:07:18 Premium: 1.0008822724974933, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79536
2025/04/08 15:07:19 Premium: 1.000811806970951, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79541.6
2025/04/08 15:07:20 Premium: 1.0007816104968397, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79544
2025/04/08 15:07:21 Premium: 1.000608016126145, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79557.8
2025/04/08 15:07:22 Premium: 1.0008810140975055, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79536.1
2025/04/08 15:07:23 Premium: 1.000913733525629, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79533.5
2025/04/08 15:07:24 Premium: 1.0009326110918952, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79532
2025/04/08 15:07:25 Premium: 1.0009326110918952, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79532
2025/04/08 15:07:26 Premium: 1.000931352565324, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79532.1
2025/04/08 15:07:27 Premium: 1.000931352565324, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79532.1
2025/04/08 15:07:28 Premium: 1.0009326110918952, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79532
2025/04/08 15:07:29 Premium: 1.001006869761759, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79526.1
2025/04/08 15:07:30 Premium: 1.0009665925056628, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79529.3
2025/04/08 15:07:31 Premium: 1.0009984333389987, KimchiPrice: 1.18652e+08, AnchorPrice: 1490.5, CefiPrice: 79526.1
2025/04/08 15:07:32 Premium: 1.0009984333389987, KimchiPrice: 1.18652e+08, AnchorPrice: 1490.5, CefiPrice: 79526.1
2025/04/08 15:07:33 Premium: 1.001149500649074, KimchiPrice: 1.18652e+08, AnchorPrice: 1490.5, CefiPrice: 79514.1
2025/04/08 15:07:34 Premium: 1.001072702402164, KimchiPrice: 1.18652e+08, AnchorPrice: 1490.5, CefiPrice: 79520.2
2025/04/08 15:07:35 Premium: 1.001072702402164, KimchiPrice: 1.18652e+08, AnchorPrice: 1490.5, CefiPrice: 79520.2
2025/04/08 15:07:36 Premium: 1.0017447888086104, KimchiPrice: 1.18652e+08, AnchorPrice: 1489.5, CefiPrice: 79520.2
2025/04/08 15:07:37 Premium: 1.0009552651113742, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79530.2
2025/04/08 15:07:38 Premium: 1.000665874224552, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79553.2
2025/04/08 15:07:39 Premium: 1.0005816048708034, KimchiPrice: 1.18653e+08, AnchorPrice: 1490.5, CefiPrice: 79559.9
2025/04/08 15:07:40 Premium: 1.0003389062859533, KimchiPrice: 1.18557e+08, AnchorPrice: 1489.5, CefiPrice: 79568.2
2025/04/08 15:07:41 Premium: 0.9999945250263907, KimchiPrice: 1.18557e+08, AnchorPrice: 1490.5, CefiPrice: 79542.2
2025/04/08 15:07:42 Premium: 0.99999326784056, KimchiPrice: 1.18557e+08, AnchorPrice: 1490.5, CefiPrice: 79542.3
2025/04/08 15:07:43 Premium: 0.99999326784056, KimchiPrice: 1.18557e+08, AnchorPrice: 1490.5, CefiPrice: 79542.3
2025/04/08 15:07:44 Premium: 0.9999945250263907, KimchiPrice: 1.18557e+08, AnchorPrice: 1490.5, CefiPrice: 79542.2
